feature,coef,abs_coef
mom_180 mom_270^2,0.049844016808450804,0.049844016808450804
mom_30 mom_360 dd_15,0.048729278791965,0.048729278791965
mom_30 mom_180,0.04816310575369271,0.04816310575369271
mom_120 dd_60 dd_120,-0.044663647930116325,0.044663647930116325
mom_30 mom_120 mom_270,0.04235685227096429,0.04235685227096429
mom_90 mom_180 mom_300,-0.041819587956385275,0.041819587956385275
mom_30 mom_60 dd_15,0.041638034634947994,0.041638034634947994
mom_300^2 dd_120,0.04133908097406791,0.04133908097406791
mom_180 dd_60 dd_120,0.04105833806453014,0.04105833806453014
mom_30^2 dd_90,0.04020792305395853,0.04020792305395853
mom_30^2 mom_60,0.04006559891761175,0.04006559891761175
mom_270 dd_90^2,0.0400540039538924,0.0400540039538924
mom_60 mom_360 dd_120,0.03777093187174393,0.03777093187174393
mom_120 mom_270 dd_120,0.03570746546200814,0.03570746546200814
mom_60 dd_90 dd_120,0.034976983502925135,0.034976983502925135
mom_270 dd_15 dd_120,0.03470352403472878,0.03470352403472878
mom_30 mom_60 dd_60,0.034280679807772725,0.034280679807772725
dd_60 dd_90 dd_120,0.033062670793642536,0.033062670793642536
mom_300 dd_90 dd_120,-0.032011407006558065,0.032011407006558065
mom_30 mom_300 dd_15,-0.03173622672244881,0.03173622672244881
mom_30 mom_300 dd_120,-0.031016187857405612,0.031016187857405612
mom_180 mom_360 dd_15,-0.03031006062204602,0.03031006062204602
mom_90 mom_180 dd_120,0.02952727405990953,0.02952727405990953
mom_90 mom_270 dd_120,-0.028748692379568865,0.028748692379568865
mom_30^2 mom_360,0.027587084483968915,0.027587084483968915
mom_90 dd_60 dd_120,0.02657690070953037,0.02657690070953037
mom_270 mom_300 dd_60,-0.026128162549077853,0.026128162549077853
mom_120 mom_360 dd_60,-0.02588401749763308,0.02588401749763308
mom_270 dd_60^2,0.0257709419495952,0.0257709419495952
mom_300 dd_15,-0.024867380153740272,0.024867380153740272
mom_270^2 mom_300,0.024411524346488536,0.024411524346488536
mom_30 mom_60 mom_300,-0.024340985671642397,0.024340985671642397
mom_30 mom_90 mom_120,-0.023826281982735977,0.023826281982735977
mom_60 dd_15 dd_120,-0.02362724652358248,0.02362724652358248
